scenario,time,resident,x,z,speed,reason
stationary,6.00,0,0.683,-1.431,1.380,경로 이동
stationary,6.00,1,0.000,0.000,0.000,대기
stationary,6.25,0,1.000,-1.294,1.380,경로 이동
stationary,6.25,1,0.000,0.000,0.000,대기
stationary,6.50,0,1.317,-1.158,1.380,경로 이동
stationary,6.50,1,0.000,0.000,0.000,대기
stationary,6.75,0,1.633,-1.021,1.380,경로 이동
stationary,6.75,1,0.000,0.000,0.000,대기
stationary,7.00,0,1.950,-0.884,1.380,경로 이동
stationary,7.00,1,0.000,0.000,0.000,대기
stationary,7.25,0,2.267,-0.748,1.380,경로 이동
stationary,7.25,1,0.000,0.000,0.000,대기
stationary,7.50,0,2.584,-0.611,1.380,경로 이동
stationary,7.50,1,0.000,0.000,0.000,대기
stationary,7.75,0,2.900,-0.474,1.380,경로 이동
stationary,7.75,1,0.000,0.000,0.000,대기
stationary,8.00,0,3.217,-0.338,1.380,경로 이동
stationary,8.00,1,0.000,0.000,0.000,대기
stationary,8.25,0,3.534,-0.201,1.380,경로 이동
stationary,8.25,1,0.000,0.000,0.000,대기
stationary,8.50,0,3.834,-0.089,1.089,경로 이동
stationary,8.50,1,0.000,0.000,0.000,대기
stationary,8.75,0,4.003,-0.025,0.482,경로 이동
stationary,8.75,1,0.000,0.000,0.000,대기
narrow,0.00,0,-3.994,0.000,0.125,경로 이동
narrow,0.00,1,3.994,0.000,0.125,경로 이동
narrow,0.25,0,-3.869,0.000,0.750,경로 이동
narrow,0.25,1,3.869,0.000,0.750,경로 이동
narrow,0.50,0,-3.588,0.000,1.375,경로 이동
narrow,0.50,1,3.588,0.000,1.375,경로 이동
narrow,0.75,0,-3.243,0.000,1.380,경로 이동
narrow,0.75,1,3.219,0.000,1.476,경로 이동
narrow,1.00,0,-2.898,0.000,1.380,경로 이동
narrow,1.00,1,2.849,0.000,1.476,경로 이동
narrow,1.25,0,-2.553,0.000,1.380,경로 이동
narrow,1.25,1,2.480,0.000,1.476,경로 이동
narrow,1.50,0,-2.208,0.000,1.380,경로 이동
narrow,1.50,1,2.111,0.000,1.476,경로 이동
narrow,1.75,0,-1.863,0.000,1.380,경로 이동
narrow,1.75,1,1.742,0.000,1.476,경로 이동
narrow,2.00,0,-1.580,0.000,0.880,느긋함: 잠시 양보
narrow,2.00,1,1.436,0.000,0.976,우회: Resident_01
narrow,2.25,0,-1.454,0.000,0.255,느긋함: 잠시 양보
narrow,2.25,1,1.228,0.057,0.939,우회: Resident_01
narrow,2.50,0,-1.447,0.000,0.000,느긋함: 잠시 양보
narrow,2.50,1,1.004,0.177,0.962,우회: Resident_01
narrow,2.75,0,-1.447,0.000,0.000,느긋함: 잠시 양보
narrow,2.75,1,0.844,0.233,0.488,우회: Resident_01
narrow,3.00,0,-1.447,0.000,0.000,느긋함: 잠시 양보
narrow,3.00,1,0.782,0.248,0.102,우회: Resident_01
narrow,3.25,0,-1.447,0.000,0.000,느긋함: 잠시 양보
narrow,3.25,1,0.676,0.247,0.474,우회: Resident_01
narrow,3.50,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
narrow,3.50,1,0.558,0.247,0.526,우회: Resident_01
narrow,3.75,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
narrow,3.75,1,0.458,0.247,0.400,우회: Resident_01
narrow,4.00,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
narrow,4.00,1,0.376,0.249,0.404,우회: Resident_01
narrow,4.25,0,-1.447,0.000,0.000,경로 이동
narrow,4.25,1,0.294,0.247,0.279,우회: Resident_01
narrow,4.50,0,-1.447,0.000,0.000,경로 이동
narrow,4.50,1,0.230,0.249,0.304,우회: Resident_01
narrow,4.75,0,-1.447,0.000,0.000,경로 이동
narrow,4.75,1,0.173,0.247,0.179,우회: Resident_01
narrow,5.00,0,-1.447,0.000,0.000,경로 이동
narrow,5.00,1,0.121,0.249,0.256,우회: Resident_01
narrow,5.25,0,-1.518,0.013,0.461,경로 이동
narrow,5.25,1,0.026,0.244,0.631,우회: Resident_01
narrow,5.50,0,-1.695,-0.053,0.966,경로 이동
narrow,5.50,1,-0.220,0.241,1.233,우회: Resident_01
narrow,5.75,0,-1.906,-0.261,1.310,경로 이동
narrow,5.75,1,-0.515,0.238,1.374,경로 이동
narrow,6.00,0,-2.034,-0.577,1.380,경로 이동
narrow,6.00,1,-0.883,0.212,1.476,경로 이동
narrow,6.25,0,-2.122,-0.863,0.964,경로 이동
narrow,6.25,1,-1.252,0.187,1.476,경로 이동
narrow,6.50,0,-2.166,-1.004,0.339,느긋함: 양보 Resident_02
narrow,6.50,1,-1.620,0.162,1.476,경로 이동
narrow,6.75,0,-2.170,-1.018,0.000,느긋함: 양보 Resident_02
narrow,6.75,1,-1.962,0.164,1.226,우회: Resident_01
narrow,7.00,0,-2.170,-1.018,0.000,느긋함: 양보 Resident_02
narrow,7.00,1,-2.226,0.277,1.287,경로 이동
narrow,7.25,0,-2.259,-1.001,0.605,경로 이동
narrow,7.25,1,-2.549,0.448,1.476,경로 이동
narrow,7.50,0,-2.453,-0.933,0.913,경로 이동
narrow,7.50,1,-2.876,0.614,1.476,우회: Resident_01
narrow,7.75,0,-2.733,-0.834,1.380,경로 이동
narrow,7.75,1,-3.209,0.764,1.476,우회: Resident_01
narrow,8.00,0,-3.059,-0.719,1.380,경로 이동
narrow,8.00,1,-3.572,0.821,1.476,우회: Resident_01
narrow,8.25,0,-3.295,-0.635,0.755,경로 이동
narrow,8.25,1,-3.932,0.750,1.476,우회: Resident_01
narrow,8.50,0,-3.385,-0.604,0.130,경로 이동
