time,state,pelvisY,headY,pelvisVelocity,headVelocity,forwardSpeed
0.958333,Walking,0.4695300,1.0992640,1.0315280,1.0330870,1.1500000
0.962500,Walking,0.4734756,1.1032180,0.9469557,0.9489441,1.1500000
0.966667,Walking,0.4772421,1.1069940,0.9039617,0.9062862,1.1500000
0.970833,Walking,0.4808952,1.1106580,0.8767462,0.8794498,1.1500000
0.975000,Walking,0.4844590,1.1142340,0.8553100,0.8583069,1.1500000
0.979167,Walking,0.4879427,1.1177320,0.8360839,0.8394527,1.1500000
0.983333,Walking,0.4913515,1.1211560,0.8181024,0.8216858,1.1500000
0.987500,Walking,0.4946904,1.1245110,0.8013368,0.8052349,1.1500000
0.991667,Walking,0.4979988,1.1278370,0.7940340,0.7982826,1.1500000
0.995833,Walking,0.5012475,1.1311050,0.7796717,0.7842064,1.1500000
1.000000,Walking,0.5044150,1.1342920,0.7602167,0.7648659,1.1500000
1.004167,Walking,0.5074729,1.1373680,0.7338953,0.7383728,1.1500000
1.008333,Walking,0.5103925,1.1403050,0.7007074,0.7049274,1.1500000
1.012500,Walking,0.5131478,1.1430770,0.6612682,0.6651020,1.1500000
1.016667,Walking,0.5157156,1.1456580,0.6162643,0.6196117,1.1500000
1.020833,Walking,0.5180758,1.1480310,0.5664396,0.5693436,1.1500000
1.025000,Walking,0.5202077,1.1501730,0.5116653,0.5141258,1.1500000
1.029167,Walking,0.5221387,1.1521130,0.4634428,0.4656315,1.1500000
1.033333,Walking,0.5238841,1.1538660,0.4188967,0.4207706,1.1500000
1.037500,Walking,0.5254359,1.1554240,0.3724194,0.3739357,1.1500000
1.041667,Walking,0.5267801,1.1567740,0.3226233,0.3238678,1.1500000
1.045833,Walking,0.5279063,1.1579030,0.2702808,0.2711391,1.1500000
1.050000,Walking,0.5288085,1.1588080,0.2165222,0.2170372,1.1500000
1.054167,Walking,0.5294879,1.1594880,0.1630640,0.1632500,1.1500000
1.058333,Walking,0.5310042,1.1610040,0.3639078,0.3637505,1.1500000
1.062500,Walking,0.5323002,1.1622970,0.3110504,0.3105068,1.1500000
1.066667,Walking,0.5333824,1.1633760,0.2597094,0.2588367,1.1500000
1.070833,Walking,0.5342479,1.1642360,0.2077246,0.2065086,1.1500000
1.075000,Walking,0.5348957,1.1648780,0.1554680,0.1538944,1.1500000
1.079167,Walking,0.5353289,1.1653030,0.1039696,0.1020527,1.1500000
1.083333,Walking,0.5355576,1.1655220,0.0548887,0.0526428,1.1500000
1.087500,Walking,0.5355973,1.1655510,0.0095272,0.0069523,1.1500000
1.091667,Walking,0.5366492,1.1665910,0.2524710,0.2495098,1.1500000
1.095833,Walking,0.5375452,1.1674720,0.2150345,0.2115440,1.1500000
1.100000,Walking,0.5382663,1.1681770,0.1730633,0.1690865,1.1500000
1.104167,Walking,0.5388056,1.1686980,0.1294327,0.1250267,1.1500000
1.108333,Walking,0.5391684,1.1690410,0.0870609,0.0823116,1.1500000
1.112500,Walking,0.5393716,1.1692240,0.0487804,0.0439453,1.1500000
1.116667,Walking,0.5394397,1.1692720,0.0163508,0.0115299,1.1500000
1.120833,Walking,0.5394027,1.1692160,-0.0088835,-0.0133610,1.1500000
1.125000,Walking,0.5388942,1.1686910,-0.1220369,-0.1261139,1.1500000
1.129167,Walking,0.5383176,1.1680980,-0.1384020,-0.1422787,1.1500000
1.133333,Walking,0.5376156,1.1673810,-0.1684713,-0.1720333,1.1500000
1.137500,Walking,0.5367727,1.1665250,-0.2023029,-0.2055359,1.1500000
1.141667,Walking,0.5358127,1.1655530,-0.2303839,-0.2332592,1.1500000
1.145833,Walking,0.5347896,1.1645190,-0.2455473,-0.2480507,1.1500000
1.150000,Walking,0.5337718,1.1634920,-0.2442884,-0.2464485,1.1500000
1.154167,Walking,0.5328237,1.1625370,-0.2275372,-0.2292252,1.1500000
1.158333,Walking,0.5303682,1.1600770,-0.5893135,-0.5904007,1.1500000
1.162500,Walking,0.5279101,1.1576170,-0.5899429,-0.5904579,1.1500000
1.166667,Walking,0.5254832,1.1551900,-0.5824614,-0.5824471,1.1500000
1.170833,Walking,0.5233189,1.1530270,-0.5194187,-0.5190468,1.1500000
1.175000,Walking,0.5227298,1.1524410,-0.1413918,-0.1406479,1.1500000
1.179167,Walking,0.5220761,1.1517910,-0.1568985,-0.1560402,1.1500000
1.183333,Walking,0.5213644,1.1510830,-0.1708031,-0.1699448,1.1500000
1.187500,Walking,0.5205847,1.1503060,-0.1871252,-0.1863670,1.1500000
1.191667,Walking,0.5183423,1.1480670,-0.5381870,-0.5375862,1.1500000
1.195833,Walking,0.5164614,1.1461880,-0.4514122,-0.4508686,1.1500000
1.200000,Walking,0.5147831,1.1445110,-0.4027748,-0.4023457,1.1500000
1.204167,Walking,0.5132367,1.1429670,-0.3711462,-0.3707600,1.1500000
1.208333,Walking,0.5117983,1.1415300,-0.3452110,-0.3448963,1.1500000
1.212500,Walking,0.5104672,1.1402000,-0.3194618,-0.3191471,1.1500000
1.216667,Walking,0.5092559,1.1389900,-0.2907085,-0.2903652,1.1500000
1.220833,Walking,0.5081840,1.1379190,-0.2572775,-0.2569485,1.1500000
1.225000,Walking,0.5080411,1.1377780,-0.0342751,-0.0338173,1.1500000
1.229167,Walking,0.5086799,1.1384190,0.1533079,0.1537800,1.1500000
1.233333,Walking,0.5099435,1.1396850,0.3032684,0.3037548,1.1500000
1.237500,Walking,0.5115194,1.1412620,0.3781986,0.3785133,1.1500000
1.241667,Walking,0.5132006,1.1429430,0.4034901,0.4035473,1.1500000
1.245833,Walking,0.5149867,1.1447290,0.4286671,0.4284382,1.1500000
1.250000,Walking,0.5168788,1.1466180,0.4541016,0.4535866,1.1500000
1.254167,Walking,0.5188769,1.1486130,0.4795504,0.4785919,1.1500000
1.258333,Walking,0.5177354,1.1474760,-0.2739716,-0.2728558,1.1500000
1.262500,Walking,0.5165913,1.1463340,-0.2745724,-0.2739143,1.1500000
1.266667,Walking,0.5154500,1.1451950,-0.2739143,-0.2735710,1.1500000
1.270833,Walking,0.5134451,1.1431900,-0.4811811,-0.4811096,1.1500000
