mode,time,phase,pelvis,head,pelvis_velocity,head_velocity,pelvis_acceleration,head_acceleration,source_pelvis,reach_drop,safety_drop,left_planted,right_planted
authored,0.325000,0.443182,0.4590428,1.0766430,-0.261040,-0.263758,-0.0017,0.0549,0.4590428,0.0000000,0.0000000,0,0
authored,0.329167,0.448864,0.4579551,1.0755450,-0.261033,-0.263615,0.0017,0.0343,0.4579551,0.0000000,0.0000000,0,0
authored,0.333333,0.454545,0.4568675,1.0744480,-0.261033,-0.263271,0.0000,0.0824,0.4568675,0.0000000,0.0000000,0,0
authored,0.337500,0.460227,0.4546250,1.0721970,-0.538187,-0.540218,-66.5171,-66.4673,0.4546250,0.0000000,0.0000000,0,0
authored,0.341667,0.465909,0.4523826,1.0699470,-0.538187,-0.539961,0.0000,0.0618,0.4523826,0.0000000,0.0000000,0,0
authored,0.345833,0.471591,0.4501401,1.0676980,-0.538187,-0.539732,0.0000,0.0549,0.4501401,0.0000000,0.0000000,0,0
authored,0.350000,0.477273,0.4478977,1.0654500,-0.538180,-0.539446,0.0017,0.0687,0.4478977,0.0000000,0.0000000,0,0
authored,0.354167,0.482955,0.4456553,1.0632040,-0.538187,-0.539188,-0.0017,0.0618,0.4456553,0.0000000,0.0000000,0,0
authored,0.358333,0.488636,0.4434128,1.0609590,-0.538187,-0.538874,0.0000,0.0755,0.4434128,0.0000000,0.0000000,0,0
authored,0.362500,0.494318,0.4411704,1.0587140,-0.538187,-0.538673,0.0000,0.0481,0.4411704,0.0000000,0.0000000,0,0
authored,0.366667,0.500000,0.4389280,1.0564710,-0.538173,-0.538330,0.0034,0.0824,0.4389280,0.0000000,0.0000000,0,0
authored,0.370833,0.505682,0.4444287,1.0619720,1.320162,1.320305,446.0002,446.0723,0.4444287,0.0000000,0.0000000,0,0
authored,0.375000,0.511364,0.4499294,1.0674750,1.320176,1.320648,0.0034,0.0824,0.4499294,0.0000000,0.0000000,0,0
authored,0.379167,0.517045,0.4554301,1.0729790,1.320155,1.320906,-0.0051,0.0618,0.4554301,0.0000000,0.0000000,0,0
authored,0.383333,0.522727,0.4609308,1.0784830,1.320176,1.321106,0.0051,0.0481,0.4609308,0.0000000,0.0000000,0,0
authored,0.387500,0.528409,0.4664315,1.0839890,1.320169,1.321421,-0.0017,0.0755,0.4664315,0.0000000,0.0000000,0,0
authored,0.391667,0.534091,0.4719322,1.0894970,1.320162,1.321764,-0.0017,0.0824,0.4719322,0.0000000,0.0000000,0,0
authored,0.395833,0.539773,0.4774329,1.0950050,1.320176,1.321936,0.0034,0.0412,0.4774329,0.0000000,0.0000000,0,0
authored,0.400000,0.545455,0.4829336,1.1005140,1.320155,1.322193,-0.0051,0.0618,0.4829336,0.0000000,0.0000000,0,0
authored,0.404167,0.551136,0.4780981,1.0956880,-1.160502,-1.158256,-595.3576,-595.3079,0.4780981,0.0000000,0.0000000,0,0
authored,0.408333,0.556818,0.4732628,1.0908630,-1.160474,-1.157913,0.0069,0.0824,0.4732628,0.0000000,0.0000000,0,0
authored,0.412500,0.562500,0.4684274,1.0860390,-1.160495,-1.157770,-0.0051,0.0343,0.4684274,0.0000000,0.0000000,0,0
authored,0.416667,0.568182,0.4635921,1.0812160,-1.160481,-1.157541,0.0034,0.0549,0.4635921,0.0000000,0.0000000,0,0
authored,0.420833,0.573864,0.4587567,1.0763940,-1.160488,-1.157369,-0.0017,0.0412,0.4587567,0.0000000,0.0000000,0,0
authored,0.425000,0.579545,0.4539214,1.0715720,-1.160481,-1.157169,0.0017,0.0481,0.4539214,0.0000000,0.0000000,0,0
authored,0.429167,0.585227,0.4490860,1.0667510,-1.160481,-1.157055,0.0000,0.0275,0.4490860,0.0000000,0.0000000,0,0
authored,0.433333,0.590909,0.4442507,1.0619310,-1.160481,-1.156912,0.0000,0.0343,0.4442507,0.0000000,0.0000000,0,0
authored,0.437500,0.596591,0.4420990,1.0597940,-0.516415,-0.512781,154.5759,154.5913,0.4420990,0.0000000,0.0000000,0,0
authored,0.441667,0.602273,0.4399473,1.0576580,-0.516400,-0.512581,0.0034,0.0481,0.4399473,0.0000000,0.0000000,0,0
authored,0.445833,0.607955,0.4377956,1.0555230,-0.516415,-0.512495,-0.0034,0.0206,0.4377956,0.0000000,0.0000000,0,0
authored,0.450000,0.613636,0.4356439,1.0533880,-0.516408,-0.512466,0.0017,0.0069,0.4356439,0.0000000,0.0000000,0,0
authored,0.454167,0.619318,0.4334922,1.0512530,-0.516400,-0.512352,0.0017,0.0275,0.4334922,0.0000000,0.0000000,0,0
authored,0.458333,0.625000,0.4313405,1.0491180,-0.516415,-0.512409,-0.0034,-0.0137,0.4313405,0.0000000,0.0000000,0,0
authored,0.462500,0.630682,0.4291888,1.0469830,-0.516400,-0.512438,0.0034,-0.0069,0.4291888,0.0000000,0.0000000,0,0
authored,0.466667,0.636364,0.4270371,1.0448470,-0.516408,-0.512409,-0.0017,0.0069,0.4270371,0.0000000,0.0000000,0,0
authored,0.470833,0.642045,0.4287466,1.0465730,0.410264,0.414162,222.4010,222.3770,0.4287466,0.0000000,0.0000000,0,0
authored,0.475000,0.647727,0.4304560,1.0482990,0.410256,0.414133,-0.0017,-0.0069,0.4304560,0.0000000,0.0000000,0,0
authored,0.479167,0.653409,0.4321654,1.0500240,0.410256,0.414047,0.0000,-0.0206,0.4321654,0.0000000,0.0000000,0,0
authored,0.483333,0.659091,0.4338748,1.0517490,0.410264,0.414019,0.0017,-0.0069,0.4338748,0.0000000,0.0000000,0,0
authored,0.487500,0.664773,0.4355842,1.0534730,0.410256,0.413876,-0.0017,-0.0343,0.4355842,0.0000000,0.0000000,0,0
authored,0.491667,0.670455,0.4372936,1.0551970,0.410271,0.413704,0.0034,-0.0412,0.4372936,0.0000000,0.0000000,0,0
authored,0.495833,0.676136,0.4390030,1.0569200,0.410249,0.413504,-0.0051,-0.0481,0.4390030,0.0000000,0.0000000,0,0
authored,0.500000,0.681818,0.4407125,1.0586430,0.410271,0.413361,0.0051,-0.0343,0.4407125,0.0000000,0.0000000,0,0
authored,0.504167,0.687500,0.4436774,1.0616200,0.711579,0.714512,72.3141,72.2763,0.4436774,0.0000000,0.0000000,0,0
authored,0.508333,0.693182,0.4466423,1.0645960,0.711579,0.714283,0.0000,-0.0549,0.4466423,0.0000000,0.0000000,0,0
authored,0.512500,0.698864,0.4496072,1.0675710,0.711579,0.714111,0.0000,-0.0412,0.4496072,0.0000000,0.0000000,0,0
authored,0.516667,0.704545,0.4525721,1.0705460,0.711579,0.713882,0.0000,-0.0549,0.4525721,0.0000000,0.0000000,0,0
authored,0.520833,0.710227,0.4555371,1.0735190,0.711586,0.713654,0.0017,-0.0549,0.4555371,0.0000000,0.0000000,0,0
authored,0.525000,0.715909,0.4585020,1.0764920,0.711579,0.713339,-0.0017,-0.0755,0.4585020,0.0000000,0.0000000,0,0
authored,0.529167,0.721591,0.4614669,1.0794630,0.711579,0.713110,0.0000,-0.0549,0.4614669,0.0000000,0.0000000,0,0
authored,0.533333,0.727273,0.4644319,1.0824330,0.711586,0.712852,0.0017,-0.0618,0.4644319,0.0000000,0.0000000,0,0
authored,0.537500,0.732955,0.4674030,1.0854080,0.713081,0.714054,0.3588,0.2884,0.4674030,0.0000000,0.0000000,0,0
authored,0.541667,0.738636,0.4703742,1.0883820,0.713089,0.713797,0.0017,-0.0618,0.4703742,0.0000000,0.0000000,0,0
authored,0.545833,0.744318,0.4733454,1.0913550,0.713074,0.713482,-0.0034,-0.0755,0.4733454,0.0000000,0.0000000,0,0
authored,0.550000,0.750000,0.4763166,1.0943270,0.713089,0.713310,0.0034,-0.0412,0.4763166,0.0000000,0.0000000,0,0
authored,0.554167,0.755682,0.4792877,1.0972980,0.713074,0.712881,-0.0034,-0.1030,0.4792877,0.0000000,0.0000000,0,0
authored,0.558333,0.761364,0.4822589,1.1002670,0.713096,0.712681,0.0051,-0.0481,0.4822589,0.0000000,0.0000000,0,0
authored,0.562500,0.767045,0.4852301,1.1032350,0.713067,0.712337,-0.0069,-0.0824,0.4852301,0.0000000,0.0000000,0,0
authored,0.566667,0.772727,0.4882013,1.1062020,0.713096,0.712109,0.0069,-0.0549,0.4882013,0.0000000,0.0000000,0,0
authored,0.570833,0.778409,0.4899294,1.1079250,0.414748,0.413475,-71.6034,-71.6721,0.4899294,0.0000000,0.0000000,0,0
authored,0.575000,0.784091,0.4916576,1.1096470,0.414763,0.413218,0.0034,-0.0618,0.4916576,0.0000000,0.0000000,0,0
authored,0.579167,0.789773,0.4933857,1.1113680,0.414748,0.412989,-0.0034,-0.0549,0.4933857,0.0000000,0.0000000,0,0
authored,0.583333,0.795455,0.4951138,1.1130870,0.414748,0.412703,0.0000,-0.0687,0.4951138,0.0000000,0.0000000,0,0
authored,0.587500,0.801136,0.4968420,1.1148060,0.414763,0.412474,0.0034,-0.0549,0.4968420,0.0000000,0.0000000,0,0
authored,0.591667,0.806818,0.4985702,1.1165240,0.414763,0.412216,0.0000,-0.0618,0.4985702,0.0000000,0.0000000,0,0
authored,0.595833,0.812500,0.5002982,1.1182400,0.414727,0.412045,-0.0086,-0.0412,0.5002982,0.0000000,0.0000000,0,0
authored,0.600000,0.818182,0.5020264,1.1199560,0.414763,0.411844,0.0086,-0.0481,0.5020264,0.0000000,0.0000000,0,0
authored,0.604167,0.823864,0.5026530,1.1205700,0.150390,0.147285,-63.4495,-63.4941,0.5026530,0.0000000,0.0000000,0,0
authored,0.608333,0.829545,0.5032796,1.1211830,0.150390,0.147114,0.0000,-0.0412,0.5032796,0.0000000,0.0000000,0,0
authored,0.612500,0.835227,0.5039063,1.1217950,0.150390,0.146942,0.0000,-0.0412,0.5039063,0.0000000,0.0000000,0,0
authored,0.616667,0.840909,0.5045328,1.1224070,0.150375,0.146799,-0.0034,-0.0343,0.5045328,0.0000000,0.0000000,0,0
authored,0.620833,0.846591,0.5051594,1.1230180,0.150390,0.146627,0.0034,-0.0412,0.5051594,0.0000000,0.0000000,0,0
authored,0.625000,0.852273,0.5057861,1.1236290,0.150390,0.146570,0.0000,-0.0137,0.5057861,0.0000000,0.0000000,0,0
authored,0.629167,0.857955,0.5064126,1.1242390,0.150375,0.146513,-0.0034,-0.0137,0.5064126,0.0000000,0.0000000,0,0
authored,0.633333,0.863636,0.5070391,1.1248490,0.150361,0.146427,-0.0034,-0.0206,0.5070391,0.0000000,0.0000000,0,0
authored,0.637500,0.869318,0.5018554,1.1196490,-1.244101,-1.248035,-334.6710,-334.6710,0.5018554,0.0000000,0.0000000,0,0
authored,0.641667,0.875000,0.4966716,1.1144490,-1.244109,-1.248150,-0.0017,-0.0275,0.4966716,0.0000000,0.0000000,0,0
authored,0.645833,0.880682,0.4914878,1.1092480,-1.244116,-1.248093,-0.0017,0.0137,0.4914878,0.0000000,0.0000000,0,0
authored,0.650000,0.886364,0.4863040,1.1040480,-1.244116,-1.248150,0.0000,-0.0137,0.4863040,0.0000000,0.0000000,0,0
authored,0.654167,0.892045,0.4811201,1.0988470,-1.244116,-1.248035,0.0000,0.0275,0.4811201,0.0000000,0.0000000,0,0
authored,0.658333,0.897727,0.4759363,1.0936470,-1.244123,-1.248035,-0.0017,0.0000,0.4759363,0.0000000,0.0000000,0,0
authored,0.662500,0.903409,0.4707525,1.0884480,-1.244109,-1.247921,0.0034,0.0275,0.4707525,0.0000000,0.0000000,0,0
authored,0.666667,0.909091,0.4655687,1.0832480,-1.244116,-1.247778,-0.0017,0.0343,0.4655687,0.0000000,0.0000000,0,0
authored,0.670833,0.914773,0.4644810,1.0821460,-0.261040,-0.264616,235.9382,235.9588,0.4644810,0.0000000,0.0000000,0,0
authored,0.675000,0.920455,0.4633934,1.0810440,-0.261040,-0.264473,0.0000,0.0343,0.4633934,0.0000000,0.0000000,0,0
authored,0.679167,0.926136,0.4623057,1.0799430,-0.261040,-0.264330,0.0000,0.0343,0.4623057,0.0000000,0.0000000,0,0
authored,0.683333,0.931818,0.4612181,1.0788420,-0.261033,-0.264130,0.0017,0.0481,0.4612181,0.0000000,0.0000000,0,0
authored,0.687500,0.937500,0.4601304,1.0777420,-0.261033,-0.263987,0.0000,0.0343,0.4601304,0.0000000,0.0000000,0,0
