mode,time,phase,pelvis,head,pelvis_velocity,head_velocity,pelvis_acceleration,head_acceleration,source_pelvis,reach_drop,safety_drop,left_planted,right_planted
authored,0.620833,0.846591,0.4522275,1.0700860,0.563657,0.559931,-11.3880,-11.4189,0.4522275,0.0000000,0.0000000,0,0
authored,0.625000,0.852273,0.4545762,1.0724190,0.563679,0.559845,0.0051,-0.0206,0.4545762,0.0000000,0.0000000,0,0
authored,0.629167,0.857955,0.4566792,1.0745060,0.504720,0.500879,-14.1501,-14.1518,0.4566792,0.0000000,0.0000000,0,0
authored,0.633333,0.863636,0.4587823,1.0765920,0.504742,0.500794,0.0051,-0.0206,0.4587823,0.0000000,0.0000000,0,0
authored,0.637500,0.869318,0.4605970,1.0783910,0.435534,0.431585,-16.6100,-16.6100,0.4605970,0.0000000,0.0000000,0,0
authored,0.641667,0.875000,0.4624117,1.0801890,0.435519,0.431528,-0.0034,-0.0137,0.4624117,0.0000000,0.0000000,0,0
authored,0.645833,0.880682,0.4639012,1.0816620,0.357485,0.353508,-18.7283,-18.7248,0.4639012,0.0000000,0.0000000,0,0
authored,0.650000,0.886364,0.4653907,1.0831340,0.357471,0.353451,-0.0034,-0.0137,0.4653907,0.0000000,0.0000000,0,0
authored,0.654167,0.892045,0.4665245,1.0842520,0.272133,0.268135,-20.4809,-20.4758,0.4665245,0.0000000,0.0000000,0,0
authored,0.658333,0.897727,0.4676584,1.0853690,0.272119,0.268221,-0.0034,0.0206,0.4676584,0.0000000,0.0000000,0,0
authored,0.662500,0.903409,0.4684136,1.0861090,0.181253,0.177469,-21.8079,-21.7804,0.4684136,0.0000000,0.0000000,0,0
authored,0.666667,0.909091,0.4691688,1.0868490,0.181253,0.177584,0.0000,0.0275,0.4691688,0.0000000,0.0000000,0,0
authored,0.670833,0.914773,0.4695300,1.0871950,0.086675,0.083113,-22.6988,-22.6730,0.4695300,0.0000000,0.0000000,0,0
authored,0.675000,0.920455,0.4698911,1.0875420,0.086675,0.083256,0.0000,0.0343,0.4698911,0.0000000,0.0000000,0,0
authored,0.679167,0.926136,0.4698509,1.0874880,-0.009656,-0.012989,-23.1194,-23.0988,0.4698509,0.0000000,0.0000000,0,0
authored,0.683333,0.931818,0.4698106,1.0874350,-0.009656,-0.012760,0.0000,0.0549,0.4698106,0.0000000,0.0000000,0,0
authored,0.687500,0.937500,0.4693698,1.0869810,-0.105801,-0.108776,-23.0747,-23.0438,0.4693698,0.0000000,0.0000000,0,0
authored,0.691667,0.943182,0.4689290,1.0865290,-0.105794,-0.108519,0.0017,0.0618,0.4689290,0.0000000,0.0000000,0,0
authored,0.695833,0.948864,0.4680966,1.0856860,-0.199778,-0.202274,-22.5563,-22.5014,0.4680966,0.0000000,0.0000000,0,0
authored,0.700000,0.954545,0.4672641,1.0848440,-0.199785,-0.202045,-0.0017,0.0549,0.4672641,0.0000000,0.0000000,0,0
authored,0.704167,0.960227,0.4660571,1.0836290,-0.289700,-0.291653,-21.5796,-21.5057,0.4660571,0.0000000,0.0000000,0,0
authored,0.708333,0.965909,0.4648500,1.0824160,-0.289686,-0.291138,0.0034,0.1236,0.4648500,0.0000000,0.0000000,0,0
authored,0.712500,0.971591,0.4632928,1.0808540,-0.373735,-0.374880,-20.1719,-20.0981,0.4632928,0.0000000,0.0000000,0,0
authored,0.716667,0.977273,0.4617356,1.0792930,-0.373721,-0.374708,0.0034,0.0412,0.4617356,0.0000000,0.0000000,0,0
authored,0.720833,0.982955,0.4598601,1.0774140,-0.450132,-0.450926,-18.3386,-18.2922,0.4598601,0.0000000,0.0000000,0,0
authored,0.725000,0.988636,0.4579845,1.0755350,-0.450139,-0.450897,-0.0017,0.0069,0.4579845,0.0000000,0.0000000,0,0
authored,0.729167,0.994318,0.4558288,1.0733760,-0.517373,-0.518217,-16.1362,-16.1568,0.4558288,0.0000000,0.0000000,0,0
authored,0.733333,0.000000,0.4536730,1.0712160,-0.517380,-0.518417,-0.0017,-0.0481,0.4536730,0.0000000,0.0000000,0,0
authored,0.737500,0.005682,0.4512810,1.0688280,-0.574100,-0.573063,-13.6127,-13.1149,0.4512810,0.0000000,0.0000000,0,0
authored,0.741667,0.011364,0.4488889,1.0664400,-0.574100,-0.573263,0.0000,-0.0481,0.4488889,0.0000000,0.0000000,0,0
authored,0.745833,0.017045,0.4463092,1.0638630,-0.619125,-0.618353,-10.8061,-10.8215,0.4463092,0.0000000,0.0000000,0,0
authored,0.750000,0.022727,0.4437295,1.0612870,-0.619125,-0.618324,0.0000,0.0069,0.4437295,0.0000000,0.0000000,0,0
authored,0.754167,0.028409,0.4410147,1.0585760,-0.651555,-0.650625,-7.7831,-7.7522,0.4410147,0.0000000,0.0000000,0,0
authored,0.758333,0.034091,0.4382999,1.0558660,-0.651548,-0.650339,0.0017,0.0687,0.4382999,0.0000000,0.0000000,0,0
authored,0.762500,0.039773,0.4355052,1.0530770,-0.670724,-0.669279,-4.6022,-4.5456,0.4355052,0.0000000,0.0000000,0,0
authored,0.766667,0.045455,0.4327106,1.0502910,-0.670717,-0.668764,0.0017,0.1236,0.4327106,0.0000000,0.0000000,0,0
authored,0.770833,0.051136,0.4298929,1.0474830,-0.676231,-0.674000,-1.3235,-1.2566,0.4298929,0.0000000,0.0000000,0,0
authored,0.775000,0.056818,0.4270754,1.0446750,-0.676217,-0.673714,0.0034,0.0687,0.4270754,0.0000000,0.0000000,0,0
authored,0.779167,0.062500,0.4242921,1.0419040,-0.667970,-0.665216,1.9793,2.0393,0.4242921,0.0000000,0.0000000,0,0
authored,0.783333,0.068182,0.4215089,1.0391330,-0.667970,-0.665016,0.0000,0.0481,0.4215089,0.0000000,0.0000000,0,0
authored,0.787500,0.073864,0.4188167,1.0364540,-0.646126,-0.642986,5.2425,5.2872,0.4188167,0.0000000,0.0000000,0,0
authored,0.791667,0.079545,0.4161246,1.0337750,-0.646105,-0.642815,0.0051,0.0412,0.4161246,0.0000000,0.0000000,0,0
authored,0.795833,0.085227,0.4135784,1.0312430,-0.611107,-0.607681,8.3994,8.4320,0.4135784,0.0000000,0.0000000,0,0
authored,0.800000,0.090909,0.4110321,1.0287120,-0.611114,-0.607538,-0.0017,0.0343,0.4110321,0.0000000,0.0000000,0,0
authored,0.804167,0.096591,0.4086835,1.0263790,-0.563650,-0.560017,11.3914,11.4052,0.4086835,0.0000000,0.0000000,0,0
authored,0.808333,0.102273,0.4063349,1.0240460,-0.563657,-0.559845,-0.0017,0.0412,0.4063349,0.0000000,0.0000000,0,0
authored,0.812500,0.107955,0.4042319,1.0219590,-0.504735,-0.500822,14.1415,14.1655,0.4042319,0.0000000,0.0000000,0,0
authored,0.816667,0.113636,0.4021288,1.0198720,-0.504727,-0.500794,0.0017,0.0069,0.4021288,0.0000000,0.0000000,0,0
